Brand,Model,Fuel_Type,Mileage
Volkswagen,Polo,Electric,27.5
Toyota,Fortuner,Electric,15.5
Hyundai,Verna,Petrol,13.3
Skoda,Kushaq,CNG,19.9
Honda,City,CNG,22.4
Mahindra,XUV700,Diesel,23.4
Volkswagen,Vento,Diesel,13.2
Skoda,Rapid,Petrol,12.9
Honda,City,CNG,25.0
Volkswagen,Taigun,Petrol,26.2
Kia,Carens,Petrol,26.4
Kia,Seltos,Electric,16.6
Mahindra,Thar,CNG,27.0
Mahindra,Thar,Electric,11.7
Maruti Suzuki,Baleno,Electric,20.9
Kia,Seltos,Diesel,10.7
Volkswagen,Virtus,Diesel,23.8
Mahindra,Scorpio,Diesel,19.7
Tata Motors,Punch,Diesel,13.4
Skoda,Rapid,CNG,25.3
Tata Motors,Nexon,Electric,25.2
Toyota,Innova,Electric,27.6
Hyundai,Venue,Petrol,17.5
Honda,WR-V,CNG,16.5
Tata Motors,Punch,CNG,15.5
Renault,Kiger,CNG,27.5
Kia,Sonet,Electric,19.7
Mahindra,Scorpio,Petrol,27.7
Tata Motors,Harrier,CNG,24.0
Renault,Lodgy,Diesel,19.4
Volkswagen,Virtus,Diesel,16.9
Skoda,Rapid,Diesel,16.8
Renault,Lodgy,Diesel,20.2
Mahindra,XUV300,Electric,11.7
Mahindra,Thar,Electric,17.1
Mahindra,Scorpio,Petrol,21.9
Maruti Suzuki,Swift,Diesel,12.7
Honda,Amaze,Electric,27.1
Renault,Kwid,CNG,11.9
Hyundai,Creta,Petrol,27.0
Tata Motors,Tiago,Petrol,19.8
Tata Motors,Altroz,Petrol,28.8
Tata Motors,Tiago,Petrol,15.3
Renault,Kiger,CNG,22.8
Tata Motors,Tiago,Diesel,29.7
Skoda,Octavia,Electric,24.0
Honda,City,CNG,18.3
Tata Motors,Tiago,Diesel,21.1
Kia,Seltos,Diesel,26.7
Volkswagen,Tiguan,Diesel,11.0
Volkswagen,Vento,Petrol,26.7
Skoda,Superb,Diesel,29.6
Renault,Duster,Diesel,23.3
Skoda,Octavia,Diesel,28.5
Renault,Duster,CNG,11.8
Skoda,Superb,CNG,22.8
Honda,WR-V,CNG,24.3
Volkswagen,Polo,Petrol,11.5
Toyota,Camry,CNG,28.6
Volkswagen,Vento,CNG,26.8
Tata Motors,Altroz,Electric,18.4
Skoda,Kushaq,CNG,28.3
Renault,Triber,Diesel,16.9
Maruti Suzuki,WagonR,Diesel,12.1
Tata Motors,Nexon,CNG,22.1
Toyota,Glanza,Petrol,27.1
Renault,Triber,CNG,11.2
Honda,Civic,Electric,21.8
Tata Motors,Harrier,CNG,10.9
Tata Motors,Altroz,Petrol,13.9
Toyota,Fortuner,Diesel,21.9
Toyota,Glanza,CNG,14.1
Honda,City,CNG,12.5
Hyundai,Creta,Petrol,26.9
Skoda,Slavia,Electric,27.6
Tata Motors,Altroz,Electric,17.5
Tata Motors,Harrier,Diesel,11.3
Toyota,Camry,Electric,29.5
Kia,Carnival,Petrol,17.4
Honda,City,Diesel,25.0
Mahindra,Scorpio,Electric,10.1
Hyundai,Venue,Diesel,28.4
Hyundai,i10,Diesel,20.6
Volkswagen,Taigun,Electric,29.9
Honda,Civic,Diesel,25.7
Maruti Suzuki,Swift,Diesel,17.6
Maruti Suzuki,Ertiga,Petrol,16.4
Renault,Kiger,CNG,18.5
Maruti Suzuki,Ertiga,Diesel,12.7
Toyota,Urban Cruiser,Petrol,11.3
Mahindra,XUV700,Electric,19.3
Hyundai,i20,CNG,29.9
Tata Motors,Tiago,Diesel,19.4
Mahindra,XUV300,Diesel,24.5
Hyundai,Creta,CNG,26.7
Kia,Sonet,Diesel,14.9
Toyota,Urban Cruiser,CNG,14.6
Volkswagen,Virtus,CNG,14.3
Tata Motors,Harrier,Petrol,13.2
Renault,Kiger,Petrol,28.7
Skoda,Slavia,CNG,14.9
Skoda,Slavia,Electric,23.5
Mahindra,XUV700,CNG,10.7
Kia,Carnival,CNG,24.4
Volkswagen,Tiguan,CNG,21.5
Toyota,Fortuner,Electric,15.2
Volkswagen,Virtus,CNG,20.6
Hyundai,i20,Diesel,18.3
Hyundai,i20,Petrol,26.3
Skoda,Octavia,Petrol,17.6
Mahindra,XUV300,Electric,17.6
Renault,Lodgy,Electric,28.9
Honda,WR-V,CNG,18.1
Volkswagen,Taigun,Electric,22.8
Hyundai,Verna,Petrol,26.2
Tata Motors,Tiago,Diesel,13.9
Honda,City,Petrol,28.1
Volkswagen,Polo,Diesel,12.7
Maruti Suzuki,Baleno,Electric,16.3
Toyota,Camry,Electric,22.7
Honda,Civic,Petrol,20.3
Volkswagen,Taigun,Petrol,14.8
Maruti Suzuki,Ertiga,CNG,24.8
Tata Motors,Altroz,Diesel,16.9
Mahindra,XUV300,Diesel,11.1
Hyundai,Creta,CNG,21.4
Toyota,Urban Cruiser,Electric,28.9
Renault,Lodgy,Electric,28.3
Kia,Seltos,Petrol,28.8
Hyundai,i20,Petrol,27.8
Mahindra,XUV300,Electric,13.1
Toyota,Fortuner,Diesel,21.5
Renault,Lodgy,Diesel,12.8
Maruti Suzuki,Swift,CNG,10.6
Volkswagen,Virtus,Electric,29.0
Tata Motors,Punch,Petrol,25.3
Maruti Suzuki,Ertiga,Diesel,28.8
Honda,Civic,Electric,26.6
Honda,WR-V,CNG,29.4
Honda,WR-V,Petrol,20.8
Skoda,Kushaq,Diesel,13.3
Tata Motors,Tiago,Diesel,17.6
Tata Motors,Altroz,Electric,14.0
Kia,Sonet,Diesel,27.4
Maruti Suzuki,Baleno,Electric,12.9
Toyota,Innova,Diesel,14.4
Hyundai,Venue,Petrol,21.7
Skoda,Rapid,Electric,13.5
Honda,Jazz,Petrol,22.5
Kia,Sonet,Petrol,14.5
Volkswagen,Taigun,Electric,15.5
Maruti Suzuki,Ertiga,Diesel,12.8
Kia,Carnival,Diesel,28.9
Hyundai,Creta,Diesel,11.9
Maruti Suzuki,Swift,Diesel,19.0
Tata Motors,Altroz,Petrol,28.3
Tata Motors,Tiago,Petrol,27.1
Mahindra,Bolero,Diesel,16.8
Mahindra,Scorpio,Diesel,16.8
Maruti Suzuki,Baleno,Petrol,22.1
Hyundai,Creta,Petrol,22.5
Volkswagen,Taigun,Diesel,11.4
Toyota,Innova,Petrol,10.3
Mahindra,Scorpio,Electric,24.4
Skoda,Slavia,Petrol,18.7
Mahindra,Scorpio,Electric,21.9
Skoda,Slavia,CNG,23.6
Skoda,Superb,Electric,21.2
Kia,Carens,CNG,16.8
Tata Motors,Punch,Diesel,28.4
Hyundai,Creta,Electric,13.5
Tata Motors,Tiago,Petrol,14.7
Maruti Suzuki,Ertiga,CNG,29.1
Volkswagen,Tiguan,Petrol,19.3
Skoda,Superb,CNG,26.5
Tata Motors,Harrier,Diesel,18.2
Volkswagen,Virtus,CNG,22.6
Kia,Sonet,Petrol,28.6
Renault,Kwid,Electric,10.3
Skoda,Octavia,Petrol,24.4
Volkswagen,Polo,CNG,25.0
Skoda,Octavia,Petrol,19.0
Renault,Duster,CNG,19.6
Mahindra,XUV300,Electric,26.3
Skoda,Superb,Electric,21.9
Kia,Seltos,Petrol,11.9
Tata Motors,Tiago,Petrol,23.5
Hyundai,Verna,Diesel,29.4
Hyundai,i10,Diesel,14.8
Maruti Suzuki,Baleno,Petrol,29.9
Skoda,Superb,Petrol,12.8
Honda,Jazz,Diesel,13.5
Kia,Carens,Electric,17.9
Toyota,Glanza,CNG,14.9
Honda,WR-V,CNG,13.3
Maruti Suzuki,Swift,Diesel,21.1
Maruti Suzuki,Ertiga,Diesel,14.3
Skoda,Octavia,CNG,23.8
Mahindra,Bolero,Diesel,23.5
Kia,EV6,Petrol,26.3
Volkswagen,Virtus,CNG,16.2
Kia,Seltos,Electric,29.1
Mahindra,XUV700,Electric,26.1
Skoda,Rapid,Diesel,14.5
Maruti Suzuki,Ertiga,Diesel,16.9
Skoda,Kushaq,CNG,14.9
Hyundai,i10,Electric,20.3
Tata Motors,Punch,Electric,10.5
Kia,Seltos,Petrol,22.5
Skoda,Superb,CNG,22.0
Volkswagen,Virtus,Diesel,11.0
Kia,Carnival,Petrol,25.7
Kia,Carens,Petrol,28.9
Toyota,Urban Cruiser,Electric,18.1
Honda,Civic,CNG,15.0
Maruti Suzuki,Dzire,Petrol,26.8
Kia,Carnival,Diesel,19.0
Volkswagen,Polo,CNG,24.3
Kia,Seltos,Diesel,13.1
Hyundai,Verna,Petrol,15.2
Tata Motors,Harrier,Electric,28.3
Honda,City,Electric,27.5
Honda,Amaze,Diesel,19.9
Skoda,Superb,Diesel,22.4
Tata Motors,Tiago,Petrol,12.6
Tata Motors,Nexon,CNG,22.6
Maruti Suzuki,Dzire,Diesel,27.2
Toyota,Urban Cruiser,Diesel,22.0
Volkswagen,Vento,Petrol,17.5
Renault,Lodgy,Petrol,13.5
Honda,WR-V,CNG,19.6
Mahindra,Scorpio,Petrol,18.9
Maruti Suzuki,WagonR,Petrol,18.5
Toyota,Camry,Petrol,24.9
Renault,Kiger,CNG,15.3
Mahindra,Bolero,Electric,18.8
Skoda,Slavia,CNG,19.2
Renault,Lodgy,CNG,18.3
Maruti Suzuki,Swift,CNG,28.3
Kia,Sonet,Petrol,28.3
Skoda,Superb,Electric,16.2
Maruti Suzuki,Baleno,Petrol,20.9
Maruti Suzuki,Swift,Petrol,16.8
Hyundai,i10,CNG,20.4
Tata Motors,Altroz,Diesel,10.9
Toyota,Urban Cruiser,CNG,14.8
Volkswagen,Virtus,Diesel,25.9
Skoda,Kushaq,CNG,29.4
Hyundai,Venue,CNG,26.2
Toyota,Glanza,CNG,25.7
Volkswagen,Vento,Diesel,28.9
Toyota,Camry,CNG,22.7
Tata Motors,Altroz,Diesel,24.2
Mahindra,Bolero,Petrol,16.8
Toyota,Glanza,CNG,10.4
Honda,Civic,Electric,26.4
Maruti Suzuki,Ertiga,CNG,26.6
Honda,Jazz,CNG,23.5
Honda,Amaze,Electric,15.3
Mahindra,Bolero,Diesel,27.1
Kia,Carens,CNG,14.0
Toyota,Fortuner,Diesel,24.8
Hyundai,i10,Diesel,12.6
Toyota,Glanza,Electric,24.6
Honda,City,Petrol,24.3
Honda,WR-V,Electric,24.4
Honda,City,Electric,24.3
Skoda,Octavia,Petrol,25.1
Skoda,Kushaq,CNG,29.7
Volkswagen,Tiguan,Petrol,17.7
Mahindra,XUV300,CNG,19.2
Hyundai,Venue,Electric,29.7
Hyundai,i20,CNG,17.0
Honda,WR-V,Diesel,19.3
Toyota,Fortuner,Petrol,18.7
Mahindra,XUV700,Petrol,23.3
Mahindra,Scorpio,Petrol,15.0
Mahindra,XUV700,Petrol,25.3
Maruti Suzuki,Ertiga,Electric,22.9
Kia,Carens,CNG,28.4
Volkswagen,Vento,Petrol,18.4
Skoda,Kushaq,Petrol,12.8
Kia,Seltos,Petrol,23.6
Kia,Sonet,Diesel,17.0
Maruti Suzuki,Baleno,CNG,28.6
Tata Motors,Tiago,Diesel,26.0
Volkswagen,Taigun,Petrol,12.2
Kia,Seltos,CNG,12.1
Mahindra,Thar,Electric,16.3
Volkswagen,Tiguan,Petrol,18.3
Mahindra,Scorpio,CNG,13.6
Renault,Lodgy,Petrol,11.6
Toyota,Fortuner,Petrol,15.7
Hyundai,i20,Electric,18.2
Tata Motors,Harrier,Electric,18.8
Renault,Duster,Petrol,21.2
Honda,Jazz,Petrol,17.6
Skoda,Octavia,Petrol,15.5
Maruti Suzuki,Dzire,Diesel,26.8
Honda,City,Electric,15.2
Hyundai,Venue,Diesel,11.2
Tata Motors,Punch,Electric,24.9
Volkswagen,Polo,Electric,16.5
Maruti Suzuki,WagonR,CNG,14.4
Volkswagen,Vento,Petrol,20.9
Kia,Carnival,Electric,15.3
Volkswagen,Virtus,CNG,10.1
Honda,Civic,Electric,19.5
Maruti Suzuki,WagonR,Electric,12.2
Hyundai,i10,Diesel,18.1
Mahindra,XUV300,Petrol,24.9
Mahindra,XUV700,Electric,28.5
Mahindra,XUV300,Electric,11.0
Honda,Jazz,Petrol,18.0
Kia,Carnival,Petrol,22.7
Hyundai,i20,Electric,15.3
Maruti Suzuki,Baleno,Petrol,13.5
Mahindra,Scorpio,CNG,15.4
Tata Motors,Tiago,Electric,20.7
Hyundai,Creta,Petrol,28.5
Renault,Kiger,CNG,20.1
Honda,Amaze,Petrol,26.6
Toyota,Camry,CNG,12.5
Kia,Sonet,Electric,12.5
Maruti Suzuki,Ertiga,Petrol,21.8
Renault,Kiger,Diesel,26.1
Tata Motors,Tiago,CNG,26.6
Maruti Suzuki,Swift,Petrol,20.4
Volkswagen,Tiguan,Diesel,18.9
Tata Motors,Tiago,CNG,11.0
Maruti Suzuki,WagonR,CNG,23.6
Renault,Triber,Electric,11.6
Kia,Sonet,Petrol,16.3
Honda,Civic,CNG,21.1
Kia,Carnival,Diesel,21.0
Hyundai,i20,Petrol,12.9
Mahindra,XUV300,Petrol,13.2
Tata Motors,Punch,Electric,27.1
Volkswagen,Vento,CNG,13.8
Honda,Amaze,Diesel,16.5
Tata Motors,Tiago,CNG,27.8
Hyundai,i10,CNG,24.8
Renault,Duster,Petrol,14.0
Kia,Carnival,Petrol,22.4
Toyota,Fortuner,Electric,19.4
Toyota,Fortuner,CNG,16.9
Renault,Kwid,CNG,10.5
Tata Motors,Altroz,Diesel,29.2
Hyundai,Verna,Electric,21.0
Skoda,Rapid,Petrol,10.3
Mahindra,XUV300,CNG,17.4
Tata Motors,Tiago,Petrol,20.8
Toyota,Camry,CNG,27.7
Kia,EV6,CNG,13.6
Volkswagen,Polo,CNG,18.1
Renault,Triber,Petrol,28.4
Hyundai,Creta,Petrol,17.9
Renault,Duster,Petrol,21.5
Honda,Civic,Electric,11.5
Mahindra,Scorpio,Diesel,21.1
Maruti Suzuki,WagonR,Diesel,18.7
Honda,City,Diesel,22.3
Maruti Suzuki,WagonR,Petrol,21.7
Hyundai,i10,Electric,23.6
Volkswagen,Taigun,Petrol,11.1
Toyota,Fortuner,CNG,11.0
Kia,Sonet,Diesel,13.7
Tata Motors,Nexon,CNG,18.9
Renault,Kwid,Diesel,15.7
Hyundai,i10,Petrol,18.7
Skoda,Rapid,CNG,16.3
Hyundai,Venue,Electric,22.3
Volkswagen,Tiguan,Petrol,28.1
Toyota,Camry,Electric,18.6
Toyota,Camry,CNG,13.4
Hyundai,Venue,Petrol,14.0
Honda,Amaze,Diesel,15.8
Renault,Lodgy,Petrol,25.4
Tata Motors,Harrier,CNG,22.3
Toyota,Glanza,Diesel,21.6
Honda,Jazz,CNG,13.0
Skoda,Octavia,Electric,19.4
Skoda,Kushaq,Petrol,25.0
Tata Motors,Punch,CNG,21.3
Volkswagen,Taigun,CNG,15.6
Tata Motors,Punch,CNG,13.6
Renault,Duster,Electric,21.3
Kia,Carens,Diesel,16.9
Skoda,Rapid,Electric,26.8
Renault,Lodgy,Diesel,24.8
Honda,City,CNG,15.4
Toyota,Innova,Electric,29.0
Hyundai,i10,Electric,16.2
Hyundai,i20,Petrol,12.2
Maruti Suzuki,Baleno,Electric,13.8
Mahindra,Scorpio,Diesel,16.2
Toyota,Innova,Electric,22.7
Toyota,Camry,Electric,26.1
Toyota,Innova,Diesel,25.9
Renault,Triber,Petrol,16.1
Maruti Suzuki,WagonR,CNG,14.9
Toyota,Glanza,CNG,12.3
Mahindra,Bolero,Petrol,13.4
Skoda,Slavia,Electric,23.8
Renault,Lodgy,CNG,18.3
Mahindra,Thar,Petrol,24.7
Hyundai,Venue,Petrol,25.8
Honda,Amaze,Diesel,25.8
Toyota,Glanza,Petrol,27.2
Toyota,Camry,CNG,14.3
Tata Motors,Nexon,Diesel,14.3
Honda,Amaze,Petrol,18.8
Mahindra,Bolero,Electric,11.6
Hyundai,i20,CNG,22.4
Mahindra,Thar,Diesel,17.7
Mahindra,XUV300,Electric,17.1
Volkswagen,Polo,Electric,15.1
Kia,EV6,CNG,15.5
Volkswagen,Tiguan,Petrol,11.4
Kia,Carens,Diesel,25.6
Volkswagen,Polo,Petrol,12.1
Hyundai,i10,Electric,16.1
Volkswagen,Taigun,Electric,25.2
Toyota,Glanza,Diesel,23.1
Hyundai,Venue,Electric,27.8
Mahindra,Scorpio,Electric,17.9
Toyota,Fortuner,CNG,24.5
Skoda,Rapid,Electric,16.6
Kia,EV6,Petrol,15.1
Volkswagen,Vento,CNG,25.9
Volkswagen,Virtus,CNG,18.8
Tata Motors,Harrier,Diesel,19.4
Honda,Civic,Electric,18.1
Honda,WR-V,CNG,17.0
Hyundai,Verna,Electric,19.8
Tata Motors,Nexon,CNG,20.1
Honda,City,Petrol,22.2
Toyota,Camry,Electric,20.3
Toyota,Glanza,Petrol,19.2
Tata Motors,Altroz,Diesel,29.0
Maruti Suzuki,Swift,CNG,11.1
Honda,Amaze,CNG,13.1
Skoda,Superb,Petrol,17.9
Volkswagen,Virtus,CNG,11.2
Volkswagen,Vento,Electric,22.6
Maruti Suzuki,Baleno,Diesel,20.7
Tata Motors,Tiago,Electric,12.5
Honda,Civic,CNG,28.7
Mahindra,XUV700,Diesel,17.9
Hyundai,Venue,Diesel,19.9
Mahindra,Scorpio,CNG,27.6
Volkswagen,Polo,Electric,13.2
Skoda,Rapid,Diesel,27.5
Hyundai,i10,Electric,15.5
Volkswagen,Taigun,Diesel,18.9
Renault,Kwid,Electric,11.8
Mahindra,XUV300,Diesel,25.0
Hyundai,Creta,Electric,26.1
Tata Motors,Punch,Diesel,18.6
Kia,Sonet,Electric,19.7
Renault,Duster,Petrol,20.8
Maruti Suzuki,WagonR,Electric,23.3
Renault,Kiger,Electric,14.6
Skoda,Superb,CNG,29.8
Kia,EV6,CNG,17.7
Honda,WR-V,Electric,17.6
Skoda,Slavia,Diesel,21.5
Honda,Amaze,Petrol,25.5
Hyundai,Verna,Petrol,17.5
Hyundai,Verna,Electric,17.3
Hyundai,Creta,Petrol,10.1
Hyundai,i20,CNG,15.9
Volkswagen,Taigun,Diesel,25.5
Maruti Suzuki,Dzire,CNG,28.2
Renault,Duster,Electric,17.7
Tata Motors,Tiago,Electric,10.1
Tata Motors,Altroz,Diesel,11.8
Kia,Sonet,Petrol,28.8
Kia,Sonet,Electric,29.2
Maruti Suzuki,Dzire,CNG,21.7
Hyundai,Venue,CNG,26.5
Honda,Amaze,Petrol,23.7
Toyota,Urban Cruiser,Diesel,10.2
Mahindra,Scorpio,Diesel,21.6
Skoda,Rapid,Diesel,20.6
Volkswagen,Tiguan,Diesel,17.2
Tata Motors,Punch,Petrol,21.1
Kia,EV6,Diesel,19.1
Hyundai,Verna,Petrol,11.8
Volkswagen,Tiguan,CNG,16.1
Skoda,Kushaq,Electric,20.1
Maruti Suzuki,Swift,Diesel,18.3
Kia,Carens,CNG,23.5
Hyundai,i10,Diesel,24.7
Volkswagen,Vento,Diesel,23.5
Skoda,Rapid,CNG,13.9
Renault,Kwid,Electric,10.1
Kia,EV6,Diesel,15.1
Honda,WR-V,Diesel,13.6
Hyundai,Venue,Electric,18.6
Maruti Suzuki,Swift,CNG,22.5
Hyundai,i20,Petrol,19.5
Skoda,Slavia,CNG,28.1
Skoda,Octavia,Electric,27.5
Toyota,Camry,CNG,13.7
Skoda,Octavia,Petrol,25.8
Toyota,Urban Cruiser,Electric,24.7
Toyota,Fortuner,CNG,21.3
Skoda,Slavia,Petrol,15.0
Tata Motors,Tiago,Diesel,23.5
Toyota,Camry,Diesel,19.4
Kia,Carnival,CNG,21.4
Toyota,Urban Cruiser,Petrol,20.4
Kia,Carnival,Diesel,19.9
Skoda,Superb,Electric,24.9
Kia,Carnival,Electric,14.5
Hyundai,Verna,CNG,27.6
Mahindra,Scorpio,Diesel,14.4
Tata Motors,Punch,Electric,16.3
Volkswagen,Polo,Petrol,22.9
Renault,Kwid,Petrol,12.4
Skoda,Kushaq,Diesel,25.4
Toyota,Camry,Electric,10.6
Maruti Suzuki,Swift,Diesel,28.1
Mahindra,Bolero,Electric,26.2
Maruti Suzuki,WagonR,Electric,26.8
Skoda,Rapid,Electric,18.7
Hyundai,i10,CNG,12.1
Toyota,Urban Cruiser,Diesel,22.0
Volkswagen,Taigun,CNG,22.6
Honda,Amaze,Electric,23.0
Maruti Suzuki,Dzire,Electric,25.3
Toyota,Fortuner,Electric,22.8
Kia,Seltos,CNG,21.0
Renault,Triber,Petrol,19.8
Hyundai,Creta,CNG,12.7
Tata Motors,Tiago,Electric,18.2
Renault,Kwid,Electric,26.8
Hyundai,i10,Diesel,16.4
Kia,Seltos,CNG,11.4
Kia,EV6,Petrol,20.6
Tata Motors,Altroz,Diesel,20.4
Volkswagen,Vento,Electric,25.2
Toyota,Fortuner,Electric,12.6
Skoda,Rapid,Diesel,27.1
Skoda,Slavia,Diesel,24.4
Toyota,Urban Cruiser,Petrol,20.5
Renault,Kwid,Electric,28.1
Toyota,Urban Cruiser,CNG,23.1
Skoda,Rapid,Electric,17.9
Toyota,Urban Cruiser,CNG,22.8
Volkswagen,Virtus,Electric,14.6
Hyundai,i20,Petrol,25.6
Skoda,Octavia,Petrol,11.3
Honda,City,CNG,12.9
Skoda,Superb,CNG,20.1
Skoda,Slavia,Electric,12.4
Honda,City,Petrol,25.5
Honda,Jazz,Electric,20.2
Tata Motors,Punch,Petrol,16.6
Maruti Suzuki,Ertiga,Petrol,26.0
Tata Motors,Harrier,CNG,16.8
Mahindra,XUV700,Diesel,10.3
Hyundai,Verna,Electric,27.1
Honda,Amaze,Electric,24.4
Kia,Seltos,Petrol,12.8
Mahindra,Bolero,CNG,26.5
Toyota,Fortuner,Petrol,22.0
Volkswagen,Tiguan,CNG,22.9
Tata Motors,Punch,CNG,19.1
Mahindra,Thar,Petrol,28.3
Hyundai,i10,CNG,14.8
Hyundai,i10,Electric,14.2
Toyota,Camry,CNG,11.4
Volkswagen,Polo,Electric,11.6
Tata Motors,Nexon,Petrol,13.9
Honda,Civic,CNG,24.9
Kia,Carnival,CNG,12.2
Skoda,Rapid,Petrol,17.4
Maruti Suzuki,Dzire,CNG,10.1
Hyundai,Verna,Diesel,28.0
Maruti Suzuki,WagonR,CNG,23.3
Kia,Carnival,CNG,21.2
Tata Motors,Tiago,CNG,23.9
Honda,City,Diesel,10.2
Honda,Amaze,Electric,26.4
Kia,Carens,Petrol,21.1
Kia,Carens,Diesel,12.6
Maruti Suzuki,Dzire,Electric,18.2
Tata Motors,Punch,Petrol,12.2
Hyundai,Creta,CNG,16.4
Kia,EV6,Diesel,24.8
Mahindra,XUV300,Electric,11.5
Tata Motors,Nexon,CNG,20.5
Honda,Civic,CNG,18.1
Maruti Suzuki,Baleno,CNG,20.4
Kia,Carens,Diesel,18.0
Maruti Suzuki,Baleno,CNG,25.1
Renault,Kiger,Diesel,25.8
Maruti Suzuki,WagonR,Electric,16.9
Hyundai,Verna,Petrol,12.0
Honda,Amaze,CNG,12.5
Renault,Triber,Diesel,11.8
Volkswagen,Vento,Petrol,28.0
Kia,EV6,Electric,24.1
Hyundai,Verna,Diesel,11.3
Tata Motors,Punch,Petrol,25.6
Mahindra,XUV300,Petrol,15.7
Kia,Carnival,Diesel,29.7
Tata Motors,Harrier,Petrol,13.5
Honda,City,CNG,28.8
Toyota,Camry,Diesel,10.2
Volkswagen,Taigun,CNG,25.2
Skoda,Slavia,Electric,12.5
Volkswagen,Virtus,Electric,27.3
Volkswagen,Tiguan,CNG,21.4
Renault,Duster,Electric,14.4
Hyundai,Verna,Petrol,25.5
Kia,Seltos,Diesel,21.0
Volkswagen,Vento,Diesel,16.6
Honda,Amaze,Petrol,10.6
Skoda,Slavia,CNG,13.8
Skoda,Superb,Petrol,10.3
Mahindra,XUV700,CNG,24.4
Maruti Suzuki,Baleno,Diesel,25.8
Honda,Amaze,Diesel,20.0
Skoda,Rapid,Electric,21.5
Volkswagen,Taigun,Petrol,25.8
Toyota,Glanza,CNG,26.6
Mahindra,Scorpio,Diesel,25.6
Volkswagen,Virtus,CNG,23.6
Toyota,Glanza,Diesel,20.3
Skoda,Slavia,CNG,13.1
Skoda,Octavia,Diesel,28.1
Hyundai,i20,Diesel,16.0
Maruti Suzuki,Ertiga,CNG,16.0
Kia,Sonet,Diesel,19.5
Mahindra,Bolero,CNG,27.3
Volkswagen,Virtus,Electric,20.9
Honda,City,Diesel,25.5
Honda,City,CNG,17.7
Volkswagen,Tiguan,CNG,16.9
Toyota,Innova,CNG,21.8
Skoda,Rapid,Diesel,15.0
Toyota,Fortuner,Electric,18.5
Maruti Suzuki,Ertiga,Diesel,10.6
Tata Motors,Tiago,Diesel,19.2
Kia,EV6,Diesel,17.1
Honda,WR-V,Diesel,17.6
Hyundai,i10,CNG,12.1
Tata Motors,Punch,Electric,16.4
Tata Motors,Tiago,Diesel,26.6
Honda,Civic,Petrol,21.0
Tata Motors,Altroz,Diesel,23.5
Toyota,Camry,CNG,13.5
Honda,Civic,Petrol,27.0
Renault,Duster,CNG,29.6
Tata Motors,Altroz,CNG,25.5
Volkswagen,Polo,Petrol,11.5
Hyundai,i10,Electric,18.5
Toyota,Urban Cruiser,Petrol,14.5
Volkswagen,Polo,Petrol,23.1
Renault,Lodgy,CNG,27.7
Maruti Suzuki,WagonR,Electric,12.3
Skoda,Octavia,Electric,22.3
Maruti Suzuki,Dzire,Petrol,22.4
Volkswagen,Tiguan,CNG,25.6
Skoda,Slavia,Diesel,28.8
Volkswagen,Taigun,Petrol,25.7
Volkswagen,Polo,Electric,28.1
Maruti Suzuki,Swift,Diesel,15.9
Renault,Duster,Diesel,22.9
Tata Motors,Nexon,Petrol,20.2
Toyota,Urban Cruiser,Electric,11.0
Hyundai,Verna,Diesel,29.0
Maruti Suzuki,Swift,CNG,23.5
Maruti Suzuki,Ertiga,Electric,27.9
Tata Motors,Tiago,CNG,14.2
Honda,City,Diesel,26.6
Hyundai,Creta,Diesel,22.7
Tata Motors,Nexon,CNG,18.8
Toyota,Glanza,CNG,26.5
Maruti Suzuki,Dzire,CNG,21.9
Tata Motors,Tiago,Diesel,28.2
Honda,City,Electric,22.1
Renault,Triber,Electric,22.5
Tata Motors,Tiago,Petrol,14.2
Hyundai,Verna,Electric,25.9
Tata Motors,Harrier,CNG,10.5
Toyota,Innova,Petrol,11.9
Honda,Civic,CNG,29.2
Skoda,Octavia,Petrol,25.0
Mahindra,XUV300,CNG,22.7
Honda,Jazz,Electric,18.9
Renault,Lodgy,Diesel,28.8
Kia,EV6,Electric,17.0
Maruti Suzuki,Swift,Diesel,26.8
Mahindra,Scorpio,Diesel,17.3
Honda,WR-V,Electric,14.4
Hyundai,Venue,CNG,16.0
Mahindra,XUV300,Petrol,13.5
Hyundai,i20,Electric,16.9
Skoda,Octavia,CNG,16.1
Mahindra,Scorpio,Electric,15.0
Kia,Carens,CNG,14.6
Volkswagen,Vento,CNG,13.2
Volkswagen,Taigun,Electric,28.5
Hyundai,Creta,CNG,27.4
Honda,City,CNG,12.8
Volkswagen,Tiguan,Diesel,14.4
Skoda,Kushaq,CNG,13.7
Maruti Suzuki,Swift,CNG,10.0
Maruti Suzuki,Baleno,Diesel,21.5
Volkswagen,Tiguan,Petrol,19.7
Tata Motors,Punch,CNG,14.4
Honda,WR-V,Electric,14.7
Mahindra,Thar,Electric,20.3
Hyundai,Venue,Electric,14.5
Renault,Lodgy,Electric,12.2
Kia,Sonet,Diesel,14.4
Skoda,Octavia,CNG,18.9
Tata Motors,Nexon,Electric,22.9
Honda,Amaze,Petrol,28.9
Tata Motors,Altroz,Petrol,17.2
Renault,Lodgy,Electric,29.4
Maruti Suzuki,Ertiga,Electric,26.9
Mahindra,Scorpio,Diesel,13.2
Honda,WR-V,Electric,11.6
Kia,Carnival,Petrol,28.2
Toyota,Fortuner,Diesel,13.1
Volkswagen,Tiguan,Diesel,12.2
Skoda,Rapid,CNG,16.2
Mahindra,Thar,Petrol,23.5
